step,total_steps,loss,kl_loss,policy_ratio,reward_avg,format_reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
192,500,0.000000,0.000000,1.000000,0.000000,0.000000,42.118147,489.625000,0.000000,0.000000,4.024057,
193,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.598340,747.125000,0.000000,0.000000,4.874482,
194,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.105161,508.750000,0.000000,0.000000,3.971832,
195,500,0.000000,0.000000,1.000000,0.250000,0.125000,48.041807,573.375000,0.000000,0.999859,4.143194,
196,500,0.000000,0.000000,1.000000,0.500000,0.250000,48.673145,368.750000,0.000000,0.999892,4.061903,
197,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.109425,791.625000,0.000000,0.000000,4.899963,
198,500,0.000000,0.000000,1.000000,0.000000,0.000000,49.284710,287.000000,0.000000,0.000000,3.555099,
199,500,0.000000,0.000000,1.000000,0.250000,0.125000,48.434022,291.500000,0.000000,0.999859,2.697350,
200,500,0.000000,0.000000,1.000000,0.250000,0.125000,48.510121,539.375000,0.000000,0.999859,4.262939,25.8
201,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.850411,768.500000,0.000000,0.000000,3.913256,
202,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.212689,1017.375000,0.000000,0.000000,5.236043,
203,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.121611,641.000000,0.000000,0.000000,4.564008,
204,500,0.000000,0.000000,1.000000,0.750000,0.375000,48.264036,630.375000,0.000000,0.999903,4.180075,
205,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.231303,474.750000,0.000000,0.000000,4.686554,
206,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.763425,418.500000,0.000000,0.000000,4.767109,
207,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.621812,680.250000,0.000000,0.000000,4.699591,
208,500,0.000000,0.000000,1.000000,0.500000,0.250000,48.822309,367.625000,0.000000,0.999892,4.653023,
209,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.630301,398.750000,0.000000,0.000000,4.599303,
210,500,0.000000,0.000000,1.000000,0.000000,0.000000,49.118859,408.875000,0.000000,0.000000,3.945263,
211,500,0.000000,0.000000,1.000000,0.250000,0.125000,48.729981,393.000000,0.000000,0.999859,4.355287,
212,500,0.000000,0.000000,1.000000,1.000000,0.500000,49.178890,403.750000,0.000000,0.999906,4.643177,
213,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.779249,252.000000,0.000000,0.999859,2.580602,
214,500,0.000000,0.000000,1.000000,0.500000,0.250000,49.201192,409.000000,0.000000,0.999892,5.047795,
215,500,0.000000,0.000000,1.000000,1.250000,0.625000,48.768353,250.250000,0.000000,0.999903,4.033206,
216,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.697219,510.125000,0.000000,0.000000,4.696688,
217,500,0.000000,0.000000,1.000000,1.000000,0.500000,47.798854,568.625000,0.000000,0.999906,4.884057,
218,500,0.000000,0.000000,1.000000,1.500000,0.750000,48.983537,276.250000,0.000000,0.999892,3.562938,
219,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.818476,475.750000,0.000000,0.000000,5.876049,
220,500,0.000000,0.000000,1.000000,0.000000,0.000000,49.127229,366.500000,0.000000,0.000000,5.154202,
221,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.942130,548.875000,0.000000,0.000000,5.468264,
222,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.739650,250.250000,0.000000,0.999859,2.766767,
223,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.421401,441.000000,0.000000,0.000000,5.702830,
224,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.738420,368.750000,0.000000,0.000000,5.739901,
225,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.619698,514.625000,0.000000,0.000000,5.349564,
226,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.546462,402.375000,0.000000,0.000000,5.964299,
227,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.829374,391.125000,0.000000,0.000000,5.205472,
228,500,0.000000,0.000000,1.000000,0.500000,0.250000,48.813953,367.250000,0.000000,0.999892,4.358062,
229,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.059141,395.125000,0.000000,0.000000,5.608964,
230,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.130294,498.125000,0.000000,0.000000,6.151505,
231,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.661126,692.625000,0.000000,0.000000,6.802968,
232,500,0.000000,0.000000,1.000000,0.250000,0.125000,48.824368,338.625000,0.000000,0.999859,5.950315,
233,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.320771,615.250000,0.000000,0.999892,5.481143,
234,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.274455,582.250000,0.000000,0.000000,6.449868,
235,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.864491,599.125000,0.000000,0.000000,5.996832,
236,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.319586,650.500000,0.000000,0.000000,6.627992,
237,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.516939,579.250000,0.000000,0.000000,6.745667,
238,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.398279,725.375000,0.000000,0.000000,5.829427,
239,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.149312,672.750000,0.000000,0.000000,6.041086,
240,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.394195,420.375000,0.000000,0.000000,5.900086,
241,500,0.000000,0.000000,1.000000,0.250000,0.125000,47.804089,523.125000,0.000000,0.999859,5.366631,
242,500,0.000000,0.000000,1.000000,0.250000,0.125000,48.148765,549.750000,0.000000,0.999859,6.434177,
243,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.569980,743.625000,0.000000,0.000000,7.249474,
244,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.274349,795.500000,0.000000,0.000000,6.909953,
245,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.270479,718.000000,0.000000,0.000000,6.554043,
246,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.827880,912.375000,0.000000,0.000000,7.048943,
247,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.745632,960.000000,0.000000,0.000000,7.586267,
